#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RD_APPEARANCE;Kinézet;Apparence;Kinézet;;Apariencia;;;;;;;;;x
RD_COAT_OF_ARMS;Címer;Écu;Címer;;Escudo de Armas;;;;;;;;;x
RD_ATTRIBUTES;Jellemzõk;Attributs;Jellemzõk;;Atributos;;;;;;;;;x
RD_ETHNICITY;Etnikum;Ethnie;Etnikum;;Etnicidad;;;;;;;;;x
RD_EYES;Szemek;Yeux;Szemek;;Ojos;;;;;;;;;x
RD_NOSE;Orr;Nez;Orr;;Nariz;;;;;;;;;x
RD_MOUTH;Száj;Bouche;Száj;;Boca;;;;;;;;;x
RD_CHIN;Áll;Menton;Áll;;Mentón;;;;;;;;;x
RD_NECK;Nyak;Cou;Nyak;;Cuello;;;;;;;;;x
RD_CHEEKS;Arc;Joues;Arc;;Carrillos;;;;;;;;;x
RD_EARS;Fülek;Oreilles;Fülek;;Orejas;;;;;;;;;x
RD_EYE_COLOR;Szemszín;Couleur des yeux;Szemszín;;Color de Ojos;;;;;;;;;x
RD_HAIRSTYLE;Frizura;Coiffure;Frizura;;Peinado;;;;;;;;;x
RD_HAIR_COLOR;Hajszín;Couleur;Hajszín;;Color de Pelo;;;;;;;;;x
RD_BEARD;Arcszõrzet;Barbe;Arcszõrzet;;Barba;;;;;;;;;x
RD_VISUALIZE;Kiegészítõk;Visualiser;Kiegészítõk;;Visualizar;;;;;;;;;x
RD_CLOTHES;Öltözék;Habits;Öltözék;;Ropajes;;;;;;;;;x
RD_HEADGEAR;Fejdísz;Couvre-chef;Fejdísz;;Corona;;;;;;;;;x
RD_AGE;Életkor;Âge;Életkor;;Edad;;;;;;;;;x
RD_BACKGROUND;Háttér;Décor;Háttér;;Escenario;;;;;;;;;x
RD_CANCEL;Mégse;Annuler;Mégse;;Cancelar;;;;;;;;;x
RD_NEXT;Következõ;Suivant;Következõ;;Siguiente;;;;;;;;;x
RD_LAYOUT;Réteg;Composition;Réteg;;Disposición;;;;;;;;;x
RD_SLOT_1;Hely 1;I;Hely 1;;Partición 1;;;;;;;;;x
RD_SLOT_2;Hely 2;II;Hely 2;;Partición 2;;;;;;;;;x
RD_SLOT_3;Hely 3;III;Hely 3;;Partición 3;;;;;;;;;x
RD_SLOT_4;Hely 4;IV;Hely 4;;Partición 4;;;;;;;;;x
RD_COLOR_1;Szín 1;Couleur 1;Szín 1;;Color 1;;;;;;;;;x
RD_COLOR_2;Szín 2;Couleur 2;Szín 2;;Color 2;;;;;;;;;x
RD_COLOR_3;Szín 3;Couleur 3;Szín 3;;Color 3;;;;;;;;;x
RD_EMBLEM;Embléma;Figure;Embléma;;Emblema;;;;;;;;;x
PORTRAIT_westerngfx;Nyugati;Occidental;Nyugati;;Occidental;;;;;;;;;x
PORTRAIT_italiangfx;Itáliai;Italien;Itáliai;;Italiano;;;;;;;;;x
PORTRAIT_byzantinegfx;Bizánci;Byzantin;Bizánci;;Bizantino;;;;;;;;;x
PORTRAIT_muslimgfx;Muszlim;Musulman;Muszlim;;Musulmán;;;;;;;;;x
RD_YOUNG;Ifjú;Jeune;Ifjú;;Joven;;;;;;;;;x
RD_MIDDLEAGED;Középkorú;Adulte;Középkorú;;Adulto;;;;;;;;;x
RD_OLD;Öreg;Vieux;Öreg;;Anciano;;;;;;;;;x
coa_party_per_fess;Vízszintes felosztás;Coupé;Vízszintes felosztás;;Armas Partidas;;;;;;;;;x
coa_party_per_pale;Függõleges felosztás;Parti;Függõleges felosztás;;Armas Tajadas;;;;;;;;;x
coa_party_per_cross;Negyedelõ felosztás;Écartelé;Negyedelõ felosztás;;Armas Cuarteladas;;;;;;;;;x
coa_party_triangle;Harmadoló felosztás;Tiercé;Harmadoló felosztás;;Armas Alternas;;;;;;;;;x
coa_plain;Sima;Plain;Sima;;Liso;;;;;;;;;x
RD_LINK_PATTERN;Mintázat rögzítése minden helyhez;Lier les motifs sur toutes les partitions;Mintázat rögzítése minden helyhez;;Mismos modelos en todas las particiones;;;;;;;;;x
RD_LINK_COLOR;Színek rögzítése minden helyhez;Lier les couleurs sur toutes les partitions;Színek rögzítése minden helyhez;;Mismos colores en todas las particiones;;;;;;;;;x
RD_MARRIED;Pipáld ki, ha szeretnéd, hogy a karakter megházasodva induljon;Cochez si vous voulez que le personnage soit déjà marié.;Pipáld ki, ha szeretnéd, hogy a karakter megházasodva induljon;;Marca si quieres que tu personaje aparezca casado;;;;;;;;;x
