#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC61152;A régens, aki az örület vádjával bebörtönzött többé már nem az udvar tagja. Az új régens szabadon engedett.;Ce mécréant, votre ancien Régent qui vous avait mis en prison pour folie, n'exerce plus aucune influence à la Cour. Le nouveau Régent vous a libéré.;A régens, aki az örület vádjával bebörtönzött többé már nem az udvar tagja. Az új régens szabadon engedett.;;El desgraciado de tu anterior regente, el que te encerró bajo la acusación de estar loco, ya no tiene ninguna influencia en la corte. El nuevo regente te ha liberado.;;;;;;;;;x
EVTOPTA61152;Sosem lehet elég korán.;C'est pas trop tôt.;Sosem lehet elég korán.;;Cuanto tiempo perdido;;;;;;;;;x
EVTOPTB61152;Figyelj világ! Itt jövök én!;Prenez garde, Ô Monde, me voici!;Figyelj világ! Itt jövök én!;;¡Atended todo el Mundo! ¡Estoy de vuelta!;;;;;;;;;x
EVTDESC61219;Sikeresen felszámoltad a régensi hatalmad ellenzõit és tovább szolgálhatsz [Root.Liege.GetTitledFirstName] megelégedésére.;Vous avez déjoué avec succès les plans de votre adversaire pour devenir Régent, et vous pouvez continuer à servir sous la volonté de [Root.Liege.GetTitledFirstName].;Sikeresen felszámoltad a régensi hatalmad ellenzõit és tovább szolgálhatsz [Root.Liege.GetTitledFirstName] megelégedésére.;;Has frustrado existosamente las intenciones de tu oponente sobre tu regencia, y puedes continuar sirviando a [Root.Liege.GetTitledFirstName].;;;;;;;;;x
EVTDESC61245;Amilyen gerinctelen, gyáva féreg is [From.GetSheHe], [From.GetTitledFirstName] visszautasította a kihívásod!;Tout lâche qu'[From.GetSheHe] est, [From.GetTitledFirstName] a refusé de relever votre défi.;Amilyen gerinctelen, gyáva féreg is [From.GetSheHe], [From.GetTitledFirstName] visszautasította a kihívásod!;;Como [From.GetSheHe] cobarde despreciable que es, ¿[From.GetTitledFirstName] se ha negado a aceptar tu desafío!;;;;;;;;;x
EVTOPTA61245;Anyuci szoknyája majd megvéd!;Chiffe molle! Vermisseau!;Anyuci szoknyája majd megvéd!;;¡Gallina!, ¡Gusano!;;;;;;;;;x
EVTDESC61246;Egy kétségbesett kísérlettel, hogy mentse az [From.GetHerHis] bõrét, [From.GetTitledFirstName] úgy döntött feladja a régensi hivatalát a javadra.;Dans un dernier effort pour sauver sa peau, [From.GetTitledFirstName] a décidé d'abdiquer son titre de Régent en votre faveur.;Egy kétségbesett kísérlettel, hogy mentse az [From.GetHerHis] bõrét, [From.GetTitledFirstName] úgy döntött feladja a régensi hivatalát a javadra.;;En un intento desesperado por salvar su cabeza, [From.GetTitledFirstName] ha decidido cederte su posición como regente.;;;;;;;;;x
EVTOPTA61246;Szóval, ez könnyen ment.;Bien, c'était trop facile.;Szóval, ez könnyen ment.;;Ha sido facil;;;;;;;;;x
EVTDESC61226;Az ellenfeled vére lassan a földre szivárog, miközben te kardodra támaszkodva levegõ után kapkodsz. Ez egy rövid és erõszakos összecsapás volt, de szegény bolond most összetörve fekszik a lábaid elött az életéért könyörögve. Ez a nap a tiéd.;Le sang de votre adversaire suinte du sol alors que vous vous appuyez sur votre épée afin de reprendre votre souffle. Ce fut un affrontement bref et violent, mais ce pauvre idiot gît mutilé à vos pieds, s'accrochant à ce qu'il lui reste de vie. Ce jour est le vôtre.;Az ellenfeled vére lassan a földre szivárog, miközben te kardodra támaszkodva levegõ után kapkodsz. Ez egy rövid és erõszakos összecsapás volt, de szegény bolond most összetörve fekszik a lábaid elött az életéért könyörögve. Ez a nap a tiéd.;;La sangre de tu oponente fluye por los suelos mientras te apoyas en tu espada para coger aliento. Fue un encuentro breve y violento, pero el pobre idiota yace a tus pies, arrastrándose y pidiendo clemencia. Es tu gran día.;;;;;;;;;x
EVTDESC61225;Az ellenfeled vére lassan a földre szivárog, miközben te kardodra támaszkodva levegõ után kapkodsz. Ez egy rövid és erõszakos összecsapás volt, de szegény bolond most holtan fekszik a lábaid elött. Ez a nap a tiéd.;Le sang de votre adversaire suinte du sol alors que vous vous appuyez sur votre épée afin de reprendre votre souffle. Ce fut un affrontement bref et violent, mais ce pauvre idiot gît sans vie à vos pieds.;Az ellenfeled vére lassan a földre szivárog, miközben te kardodra támaszkodva levegõ után kapkodsz. Ez egy rövid és erõszakos összecsapás volt, de szegény bolond most holtan fekszik a lábaid elött. Ez a nap a tiéd.;;La sangre de tu oponente fluye por los suelos mientras te apoyas en tu espada para coger aliento. Fue un encuentro breve y violento, pero el pobre idiota yace muerto a tus pies.;;;;;;;;;x
EVTDESC61212;"[Root.Regent.GetFirstName] vadul az ég felé düf az õ [Root.Regent.GetHerHis] törével, egy hajszállal kerülve el téged, ahogy pánikszerûen félrehajoltál. Az õrök besietnek és elhúzzák a régensed, miközben [Root.Regent.GetSheHe] Azt kiabálja, ""Miért nem halsz már meg?!""";"[Root.Regent.GetFirstName] fend l'air devant lui avec sa dague vous ratant d'un cheveux alors que vous esquivez, paniqué. Les gardes se ruent dans la salle et trainent hors de votre vue votre Régent alors qu'[Root.Regent.GetSheHe] hurle : ""Pourquoi ne veux tu pas mourir?!""";"[Root.Regent.GetFirstName] vadul az ég felé düf az õ [Root.Regent.GetHerHis] törével, egy hajszállal kerülve el téged, ahogy pánikszerûen félrehajoltál. Az õrök besietnek és elhúzzák a régensed, miközben [Root.Regent.GetSheHe] Azt kiabálja, ""Miért nem halsz már meg?!""";;"[Root.Regent.GetFirstName] acuchilla violentamente al aire con su daga, fallando a darte por los pelos de un calvo mientras huyes presa del pánico. Los guardias entran corriendo y le reducen mientras grita ""¡¿Por qué no te mueres?!""";;;;;;;;;x
EVTTOOLTIP61213;Vessétek egy sötét cellába.;Jeté dans une cellule sombre.;Vessétek egy sötét cellába.;;Encerrádlo en la mazmorra más oscura.;;;;;;;;;x
YEARLY_INCOME_LESS_THAN;Éves bevétel kevesebb mint;Revenus annuels inférieurs à;Éves bevétel kevesebb mint;;Ingresos anual inferiores a ;Entrate annuale inferiori a ;;;;;;;;x
YEARLY_INCOME_GREATER_THAN;Éves bevétel nagyobb mint;Revenus annuels supérieurs à;Éves bevétel nagyobb mint;;Ingresos anual superiores a ;Entrate annuale superiori a ;;;;;;;;x
DE_JURE_LIEGE_CHANGED_NONE_SETUP;Birtokosi cím a de jure birtokosához kerül;Titre terrien change en seigneur de jure ;Birtokosi cím a de jure birtokosához kerül;;El título nobiliario cambia señor de facto;;;;;;;;;x
DE_JURE_LIEGE_CHANGED_NONE_LOG;Miután §Y$YEARS$§! évig §Y$NEW_LIEGE$§! uralma alatt volt, a §Y$TITLE$§! Titulus már az állandó részét képezi.;Après §Y$YEARS$! années sous le §Y$NEW_LIEGE$!, the §Y$TITLE$! est maintenant considéré comme faisant partie de celui-ci.;Miután §Y$YEARS$§! évig §Y$NEW_LIEGE$§! uralma alatt volt, a §Y$TITLE$§! Titulus már az állandó részét képezi.;;Después de §Y$YEARS$§! años bajo la §Y$NEW_LIEGE$§!, el §Y$TITLE$§! ahora se considera parte de ella.;;;;;;;;;x
TITLE_CANNOT_USURP_REL_HEADS;Nem bitorolhatsz el egyházi titulust;Ne peut usurper les titres chefs religieux;Nem bitorolhatsz el egyházi titulust;;No se puede usurpar los principales títulos religiosos;;;;;;;;;x
INTERACTION_REQUIRES_NOT_IN_REVOLT;[Actor.GetBestName] nincsen felkelésben;[Actor.GetBestName] n'est pas en révolte;[Actor.GetBestName] nincsen felkelésben;;[Actor.GetBestName] no está en la revuelta;;;;;;;;;x
INTERACTION_REQUIRES_TP_IS_NOT_LIEGE;[Actor.GetBestName] nem [ThirdPartyCharacter.GetBestName] hûbérese;[Actor.GetBestName] n'est pas un vassal de [ThirdPartyCharacter.GetBestName];[Actor.GetBestName] nem [ThirdPartyCharacter.GetBestName] hûbérese;;[Actor.GetBestName] no es un vasallo de [ThirdPartyCharacter.GetBestName];;;;;;;;;x
BROKEN_SAVEGAME;§RHIBÁS MENTÉS§!;§RSUAVEGARDE CASSÉ§!;§RHIBÁS MENTÉS§!;;§RPARTIDA GUARDADA ROTO§!;;;;;;;;;x
