#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
IS_NOT_ADULT;NEM nagykorú;§YN’est pas§! un adulte;NEM nagykorú;;NO es un adulto;;;;;;;;;x
IS_ADULT;Nagykorú;§YEst§! un adulte;Nagykorú;;Es un adulto;;;;;;;;;x
IS_NOT_MARRIAGE_ADULT;NEM elég idõs a házassághoz;§YN’est pas§! assez âgé pour se marier;NEM elég idõs a házassághoz;;NO tiene la edad mínima para casarse;;;;;;;;;x
IS_MARRIAGE_ADULT;Elég idõs a házassághoz;§YEst§! assez âgé pour se marier;Elég idõs a házassághoz;;Está en edad de casarse;;;;;;;;;x
DISEASE_ACTIVATED;Immár lehetséges $DISEASE$ járvány kitörése;Une épidémie de $DISEASE$ peut à présent se déclarer;Immár lehetséges $DISEASE$ járvány kitörése;;Pueden aparecer brotes de $DISEASE$;;;;;;;;;x
AIREASON_IS_PRISONER_OF_CHAR;§Y[GetTitledFirstName]§ fogságában van!;Est prisonnier de §Y[GetTitledFirstName]§!;§Y[GetTitledFirstName]§ fogságában van!;;Es prisionero de §Y[GetTitledFirstName]§!;;;;;;;;;x
SunsetInvasionDLC;A naplemente eljövetele;Invasion du Soleil Couchant;A naplemente eljövetele;;Invasión del Ocaso;;;;;;;;;x
NOT_COASTAL;NEM parti terület;Cette province n’est pas côtière;NEM parti terület;;Esta provincia no es costera;;;;;;;;;x
NOT_FORBIDDEN_LEAD;Ennek a tanácsosnak jelenleg nincs megtiltva a seregek vezetése.\n§GKattints a visszahívásához és a vezetés megtiltásához.§!;Ce conseiller ne s’est pas vu interdire de diriger une armée.\n§GCliquez pour le rappeler et interdire à ce conseiller d’en diriger une.§!;Ennek a tanácsosnak jelenleg nincs megtiltva a seregek vezetése.\n§GKattints a visszahívásához és a vezetés megtiltásához.§!;;Este consejero no tiene prohibido dirigir ejércitos.\n§GPulsa para llamar y prohibir a tu consejero que lidere ejércitos.§!;;;;;;;;;x
FORBIDDEN_LEAD;Ennek a tanácsosnak jelenleg meg van tiltva a seregek vezetése.\n§GKattints a seregek vezetésének engedélyezéséhez.§!;Ce conseiller s’est vu interdire de diriger une armée.\n§GCliquez pour l’autoriser à en diriger une.§!;Ennek a tanácsosnak jelenleg meg van tiltva a seregek vezetése.\n§GKattints a seregek vezetésének engedélyezéséhez.§!;;Este consejero tiene prohibido dirigir ejércitos.\n§GPulsa para permitir a tu consejero que lidere ejércitos.§!;;;;;;;;;x
DEMAND_RELIGIOUS_CONVERSION_INTERACTION_0;§Y[Recipient.GetFirstName] ki fog szabadulni a tömlöcébõl, ha [Recipient.GetSubjectPronoun] elfogadja.§!;§Y[Recipient.GetFirstName] sera libéré(e) de prison si [Recipient.GetSubjectPronoun] accepte.§!;§Y[Recipient.GetFirstName] ki fog szabadulni a tömlöcébõl, ha [Recipient.GetSubjectPronoun] elfogadja.§!;;§Y[Recipient.GetFirstName] será liberado si lo acepta.§!;;;;;;;;;x
opinion_fought_for_claimant;Követelõként harcolt;S'est battu pour le Prétendant;Követelõként harcolt;;Luchó pos como Solicitante;;;;;;;;;x
EVTOPTD9001;Illedelmesen megkérdez.;Demander poliment;Illedelmesen megkérdez.;;Pedir educadamente.;;;;;;;;;x
EVTDESC9003;Drága [Root.GetTitle],\n\nTudomásomra jutott, hogy bizonyos frakciók a birodalmamban az uralmam megdöntésén fáradoznak. Ha személyed bárhogy is érintett ez ügyben. Bízom benne, hogy részvételed ezennel véget is ér.\n\nAlulírott,\n[From.GetTitledName];Très Cher(e) [Root.GetTitle],\n\nJ'ai appris la présence dans notre Royaume de certaines Factions œuvrant à déstabiliser mon pouvoir. Si vous êtes engagé ou comptez vous engagez dans une telle entreprise, je ne peux que vous prier de cesser immédiatement de vous compromettre dans de telles affaires.\n\nSigné,\n[From.GetTitledName];Drága [Root.GetTitle],\n\nTudomásomra jutott, hogy bizonyos frakciók a birodalmamban az uralmam megdöntésén fáradoznak. Ha személyed bárhogy is érintett ez ügyben. Bízom benne, hogy részvételed ezennel véget is ér.\n\nAlulírott,\n[From.GetTitledName];;Mi estimado [Root.GetTitle],\n\nHa llegado a mis oídos que hay ciertas facciones en el reino trabajando para acabar con mi gobierno. Si estás envuelto en ellas, o te lo estás pensando, confió en que tu complicidad con estos hechos termine ya mismo.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA9003;Jobb nem megkockáztatni…;Mieux vaut ne pas s'y risquer...;Jobb nem megkockáztatni…;;Mejor no arriesgarse...;;;;;;;;;x
EVTOPTB9003;Áh! Ez aztán az elkeseredett levél.;Ha ! Cette lettre était un acte de désespoir.;Áh! Ez aztán az elkeseredett levél.;;¡Ja! Esta carta demuestra su desesperación.;;;;;;;;;x
EVTTOOLTIP9023;Továbbítasz egy illedelmes kérést.;Vous tentez une requête polie.;Továbbítasz egy illedelmes kérést.;;Envías una educada respuesta.;;;;;;;;;x
EVTDESC9027;Tisztelt [Root.GetTitle],\n\nRendben! Nem szívlelem ezt, de a birodalom további virágzása érdekében beleegyezem a frakciód támogatásába. Csak ne kelljen megbánnom a döntésem.\n\nAlulírott,\n[From.GetTitledName];Honorable [Root.GetTitle],\n\nParfait ! Je n'aime point cela, mais au nom de quiétude et de la prospérité du Royaume, je suis d'accord pourvous apporter mon soutien aux Factions que vous avez rejointe. Ne me faîtes pas regretter cette décision.\n\nSigné,\n[From.GetTitledName];Tisztelt [Root.GetTitle],\n\nRendben! Nem szívlelem ezt, de a birodalom további virágzása érdekében beleegyezem a frakciód támogatásába. Csak ne kelljen megbánnom a döntésem.\n\nAlulírott,\n[From.GetTitledName];;Honorable [Root.GetTitle],\n\n¡Entendido! Pese a que no me gusta, y con motivo de la continuidad de la prosperidad del reino, estoy de acuerdo en apoyar tus facciones. Por favor no hagas que me arrepienta.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
