#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NOT_IN_DYNASTY;NEM az alábbi család tagja:;N'est PAS un membre de la Maison;Ist KEIN Mitglied von Haus ;;NO forma parte de la Casa ;;;;;;;;;x
IN_DYNASTY;Az alábbi család tagja:;Est un membre de la Maison ;Ist ein Mitglied von Haus ;;Forma parte de la Casa ;;;;;;;;;x
REALM_MANPOWER_LESS;Maximális birodalmi katonaság kevesebb, mint §Y$VAL$§W;Nombre maximum de conscrits dans le royaume plus petit que §Y$VAL$§W;Gesamttruppen im Reich weniger als §Y$VAL$§W;;Las levas máximas del reino son menos de §Y$VAL$§W;;;;;;;;;x
REALM_MANPOWER_LEAST;Maximális birodalmi katonaság legalább §Y$VAL$§W;Nombre maximum de conscrits dans le royaume plus grand que §Y$VAL$§W;Gesamttruppen im Reich mindestens §Y$VAL$§W;;Las levas máximas del reino son al menos de §Y$VAL$§W;;;;;;;;;x
REALM_SIZE_LESS;Birodalom méret kisebb, mint §Y$VAL$§W;Taille du royaume plus petite que §Y$VAL$§W;Reichsgröße weniger als §Y$VAL$§W;;El tamaño del reino es de menos de §Y$VAL$§W;;;;;;;;;x
REALM_SIZE_LEAST;Birodalom méret legalább §Y$VAL$§W;Taille du royaume plus grande que §Y$VAL$§W;Reichsgröße mindestens §Y$VAL$§W;;El tamaño del reino es al menos de §Y$VAL$§W;;;;;;;;;x
tut_6a_6;Søroyar, nyugatra Ross területétõl jó célpontnak tûnik. Jól kiegészítené határunkat, mellesleg a katonáinak száma sem túl lenyûgözõ. Kattints a területre.;Søroyar à l'ouest de Ross semble être une bonne cible. Ce serait un ajout intéressant à nos frontières, de plus son nombre maximum de troupes n'est pas très impressionant. Cliquez sur sa province.;Soreyar, westlich von Ross, scheint ein gutes Ziel zu sein. Es wäre eine nette Bereicherung für Euch und die Größe der Armee ist nicht sehr beeindruckend. Klickt die Provinz.;;Søroyar al oeste de Ross parece un buen objetivo. Sería una bonita incorporación a nuestras fronteras, además su número máximo de levas no da ningún miedo. Pincha en la provincia.;;;;;;;;;x
tut_6a_10;Most küldjük a Kancellárt egy titkos küldetésre, hogy követelést állítsunk. Kattints a 'Követelés állítása' gombra, majd kattints Søroyar területére, hogy odaállítsd a kancellárt.;Maintenant envoyons notre chancelier en mission secrète afin de fabriquer une revendication. Cliquez sur le bouton 'Fabriquer des revendications' ensuite cliquez sur Søroyar pour y placer le chancelier.;"Nun lasst uns Euren Kanzler auf eine geheime Mission schicken. Klickt zuerst die Schaltfläche ""Ansprüche fingieren"" und dann auf Soreyar, um Euren Kanzler zu entsenden.";;Ahora vamos a enviar a nuestro canciller con la secreta misión de crear reclamaciones. Pincha en el botón de crear reclamaciones, después selecciona Søroyar para enviar allí a tu canciller.;;;;;;;;;x
tut_8b_8;Ami egy Keresztes hadjáratot ösztönöz, az az, hogy a Pápa kijelöl egy területet, amit a Katolikus egyház nevében meg kell hódítani. Hogy ez lehetséges legyen a számára, a területet muszlimoknak vagy pogányoknak kell birtokolni. Amikor ez megtörténik, egy különleges Keresztes hadjárat kezdõdik, amihez a Pápával történõ diplomáciai képernyõn tudsz csatlakozni, hogy felajénlod a 'Csatlakozás egy háborúhoz' opciót.;Une Croisade est déclenchée lorsque le Pape désigne une région qui doit être conquise au nom de l'église Catholique. Afin de pouvoir faire celà, il faut que la région soit actuellement sous le contrôle de Musulmans ou de Paiens. Lorsqu'il lance cet acte, une guerre de Croisade spéciale commencera et vous pourrez rejoindre celle-ci en allant dans les actions diplomatiques du Pape et en choisissant 'Proposer de rejoindre la guerre'.;Um einen Kreuzzug zu beginnen muss der Papst eine Region auswählen, die im Namen der katholischen Kirche erobert werden soll. Diese Region muss sich derzeit in der Hand von Moslems oder Heiden befinden. Sobald der Papst einen Kreuzzug ausruft beginnt der eigentliche Krieg, dem Ihr Euch über das Diplomatiemenü des Papstes anschließen könnt.;;Lo que inicia una Cruzada es que el Papa decide que una zona tiene que ser conquistada en nombre de la Iglesia Católica. Para que pueda hacerlo esta debe estar controlada por musulmanes o paganos. Cuando lo hace, una guerra de Cruzasa empezará y podrás participar yendo a la pantalla de diplomacia del Papa y eligiendo 'Ofrecerse a entrar en guerra'.;;;;;;;;;x
tut_8b_9;Ha egy hadjárat sikeres, az uralkodó, aki a legnagyobb hatással volt a hadjárat kimenetelére (legmagasabb részvételi pontszám) a katolikus oldalról õt fogják tartani a hadjáratot megnyerõ embernek.;Si une Croisade est une succès, le dirigeant qui a eu le plus grand impact (le score de participation le plus haut) du côté Catholique de la guerre sera considéré comme étant le vainqueur de la Croisade.;Sollte ein Kreuzzug erfolgreich sein, so wird der katholische Herrscher, der den größten Beitrag leistete zum Sieger erklärt.;;Si la Cruzada es exitosa, el gobernante que haya tenido el mayor impacto (mayor puntuación de participación) en el bando católico será considerado como el vencedor de la Cruzada.;;;;;;;;;x
tut_8b_10;Csatlakoznod kéne a Keresztes hadjárathoz és neked kéne megnyerni a háborút, így te kapnád meg az ellenség által birtokolt területeket a hadjárat területén. Kapsz még áhitatot és tekintélyt és egy egyedi 'Keresztes' tulajdonságot.;Dans le cas où vous choisissez de rejoindre la Croisade et réussissez à devenir celui qui gagne la Croisade, vous recevrez toutes les terres tenues par l'ennemi dans la région de la Croisade.Vous recevrez aussi de la piété et du prestige, ainsi que le trait 'Croisé'.;"Solltet Ihr Euch einem Kreuzzug anschließen und diesen sogar zu gewinnen, so wird Euch alles Land zugesprochen, dass der Feind in der umkämpften Region besaß. Zusätzlich erhaltet ihr Prestige, Pietät und die Eigenschaft ""Kreuzfahrer"".";;Si decides participar en la Cruzada y consigues ser el vencedor, recibirás todas las tierras gobernadas por el enemigo en la zona de la Cruzada. También ganarás piedad y presigio, así como el rasgo de Cruzado.;;;;;;;;;x
tut_8b_11;Csatlakoznod kéne a Keresztes hadjárathoz, de ha egy másik katolikus uralkodó nyeri meg, nem fogsz földekhez jutni, de kapni fogsz áhitatot és tekintélyt, és a 'Keresztes' tulajdonságot. Kattints a Tovább gombra befejezéshez.;Dans le cas où vous rejoignez la Croisade mais c'est un autre catholique qui la gagne, vous ne recevrez aucune terre mais vous recevrez quand même de la piété et du prestige ainsi que le trait 'Croisé'. Cliquez sur suivant pour terminer ce chapitre.;"Solltet Ihr Euch einem Kreuzzug anschließen, der von einem anderen katholischen Herrscher gewonnen wird, so erhaltet Ihr keinerlei Land, jedoch ebenfalls Prestige, Pietät und die Eigenschaft ""Kreuzfahrer"". Klickt auf ""weiter"", um diesen Teil des Tutorials zu beenden.";;Si decides participar en la Cruzada pero otro de los participantes es el vencedor, no recibirás ni un acre de tierra, pero recibirás piedad y presigio, así como el rasgo Cruzado. Pulsa siguiente para terminar este capitulo.;;;;;;;;;x
tut_8b_4;Katolikus uralkodód egyházi hûbéresei csak akkor juttatnak számodra katonákat és adót, ha jobb véleményük van rólad, mint a Pápáról. A legegyszerûbb, hogy ezt megvalósítsd, hogy kijelölsz valakit püspöknek, aki már kedvel téged. Kattints a 'Törvények' gombra, hogy lásd, hogyan valósíthatod ezt meg.;Les vassaux religieux d'un dirigeant catholique ne vous donnerons troupes et argent que s'ils ont une meilleure opinion de vous que du Pape. Le meilleur moyen de s'en assurer est en fait de nommer évêque quelqu'un qui vous aime déjà. Cliquez sur l'onglet Lois afin de découvrir commment accomplir cela.;"Religiöse Vasallen eines katholischen Herrschers entrichten diesem nur dann Steuern und Truppen, wenn sie von ihm eine höhere Meinung haben als vom Papst. Die einfachste Methode, um dies sicherzustellen ist es, nur solche Leute zum Bischof zu ernennen, die Euch bereits wohlgesonnen sind. Klickt die Schaltfläche ""Gesetze"", um zu erfahren, wie Ihr dies bewerkstelligen könnt.";;Los vasallos eclesiásticos de un gobernante católico sólo te ayudarán tropas y dinero si tienen mejor opinión sobre ti que sobre el Papa. La mejor forma de asegurarse de ello, es apuntar a alguien que te sea leal como obispo. Mira las leyes para comprobar como hacerlo.;;;;;;;;;x
tut_7c_5;Egyszerre egy cselszövésed és egy egy ambíciód lehet beállítva. Ha már van cselszövésed folyamatban, és más ellen szeretnél szervezkedni, elõbb vissza kell mondani az elõzõt.;Vous pouvez avoir un complet et une ambition active à n'importe quel moment. Si vous avez déjà un complot et désirez manigancer contre un autre personnage, vous devez auparavant annuler votre ancien complot.;Ihr könnt nur eine Verschwörung und eine Ambition gleichzeitig besitzen. Wollt ihr gegen einen weiteren Charakter intrigieren, so müsst ihr eure alte Verschwörung zunächst abbrechen.;;Sólo puedes tener activos un complot y una ambición al mismo tiempo. Si ya participas en un complot y quieres conspirar contra otro personaje, primero deberás cancelar tu viejo complot.;;;;;;;;;x
tut_7b_4;A portrédtól balra látsz egy kis kerek, 'Ambíció választása' nevû gombot. Itt tudsz a jelenlegi karaktered számára egy ambíciót kitûzni. Ilyen ambíciók lehetnek például: megházasodni, egy nagy rakás aranyat fehalmozni, hatalmas tekintélyre szert tenni és más ehhez hasonló dolgok. Ha sikeresen teljesítesz egy ambíciót jutalomban részesülsz, természetesen nagyobb jutalom jár a nehezebb ambíciókért.;A gauche de votre portrait vous trouverez un petit bouton circulaire appelé 'Choisir une ambition'. C'est là que vous pouvez déterminer l'ambition de votre personnage actuel. Les ambitions types sont de se marrier, d'amasser une grande somme d'argent, d'avoir un millier de prestige ou d'autres choses de ce type. Lorsque vous réussissez à accomplir votre ambition, vous recevrez aussi une sorte de récompense. Celle-ci sera plus important plus l'ambition est difficile à atteindre bien sûr.;"Links neben Eurem Porträt könnt Ihr eine runde Schaltfläche mit dem Namen ""Wählt eine Ambition"" finden. Hier könnt Ihr die Ambition wählen, der euer Charakter folgen soll. Beispiele für mögliche Ambitionen sind Heirat, die Anhäufung von Reichtümern, die Ansammlung von 1000 Punkten Prestige oder ähnliche Dinge. Wenn Ihr Eure Ambition erfolgreich abschließt, erhaltet ihr eine Belohnung. Schwierigere Ambitionen erzielen verständlicherweise höhere Belohnungen.";;"A la izquierda de tu retrato podrás ver un pequeño botón circular llamado ""Escoger Ambición'. Aquí es donde puedes escoger una ambición para tu personaje actual. Posibles ambiciones son casarse, ahorrar una gran cantidad de dinero, ser muy prestigioso, o cosas semejantes. Cuando consigues llevar a cabo una ambición, recibirás una recompensa, que será mejor según la dificultad de conseguir lo ambicionado.";;;;;;;;;x
