#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
seize_trade_post_desc;Mint patrícius, §Y$CLAIMANT$§! hadat üzenhet §Y$TARGET$§! személyének §Y$TITLE$§! titulusáért. Ez a casus belli nem érvényes sokkal gyengébb patríciusok ellen azonos köztársaságon belül.;En tant que patricien, §Y$CLAIMANT$§! peut déclarer la guerre à §Y$TARGET$§! pour le §Y$TITLE$§!. Ce casus belli n'est pas utilisable contre les patriciens de rang inférieur de la même république.;Mint patrícius, §Y$CLAIMANT$§! hadat üzenhet §Y$TARGET$§! személyének §Y$TITLE$§! titulusáért. Ez a casus belli nem érvényes sokkal gyengébb patríciusok ellen azonos köztársaságon belül.;;Como patricio, §Y$CLAIMANT$§! puede declarar la guerra a §Y$TARGET$§! por §Y$TITLE$§!;;;;;;;;;x
opinion_rival_republic;Rivális Köztársaság;République rivale;Rivális Köztársaság;;República rival;;;;;;;;;x
EVTDESC_REP_070;A kereskedõk, akik az egyik kereskedelmi állomásod vezették, immár nem hûségesek a dinasztiádhoz! Õk immár a frissen létrejött Hanza patrícius családjait szolgálják, azt állítják a frissen indult liga jobb profit lehetõségekkel kecsegteti õket.;Les marchands ayant la charge d'un de vos comptoirs ont rompu leur allégeance envers votre dynastie ! Ils sont à présent au service d'un des familles patriciennes de la naissante Hanse, prétendant que cette ambitieuse ligue commerciale leur offre de meilleures opportunités.;A kereskedõk, akik az egyik kereskedelmi állomásod vezették, immár nem hûségesek a dinasztiádhoz! Õk immár a frissen létrejött Hanza patrícius családjait szolgálják, azt állítják a frissen indult liga jobb profit lehetõségekkel kecsegteti õket.;;¡Los mercaderes que dirigen uno de tus puestos de comercio han terminado su relación con tu familia! Ahora sirven a la recién creada Hansa, con la excusa de que la nueva liga comercial les permite mayores oportunidades de beneficios. ;;;;;;;;;x
EVTOPTA_REP_070;Hallatlan!;Ingrats !;Hallatlan!;;¡Ingratos!;;;;;;;;;x
PATRICIAN_DEMESNE_BONUS;Patrícius;Patricien;Patrícius;;Patricio;;;;;;;;;x
CANT_BUILD_TRADEPOST_OTHERREP;NEM áll másik kereskedõ köztársaság birtokában;Ne doit pas être détenu par une autre république marchande;NEM áll másik kereskedõ köztársaság birtokában;;No forma parte de otra República Mercante;;;;;;;;;x
opinion_royal_marriage;Házassági kötelékek;Liens du mariage;Házassági kötelékek;;Vinculos matrimoniales;;;;;;;;;x
AIREASON_REPUBLICS_REFUSE_REVOKE;Kereskedõ köztársaságok nem fognak titulust feladni;Les républiques marchandes ne vont pas abandonner de titre;Kereskedõ köztársaságok nem fognak titulust feladni;;Las repúblicas mercantiles no reparten títulos;;;;;;;;;x
INTERACTION_CAN_AFFORD_THE_COST;Megengedhet $COST$¤ nagyságú kiadást;Peut engager une dépense de $COST$ ¤;Megengedhet $COST$¤ nagyságú kiadást;;Puedes gastar $COST$¤;;;;;;;;;x
INTERACTION_RECIPIENT_NOT_EMBARGOING;[Recipient.GetTitledName] még nem tartja embargó alatt [ThirdPartyCharacter.GetTitledName] személyét;[Recipient.GetTitledName] n'a pas mis sous embargo [ThirdPartyCharacter.GetTitledName];[Recipient.GetTitledName] még nem tartja embargó alatt [ThirdPartyCharacter.GetTitledName] személyét;;[Recipient.GetTitledName] no tiene a [ThirdPartyCharacter.GetTitledName] bajo embargo;;;;;;;;;x
