#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NAME_W_NICK;$NICK$' $NAME$ $TITLE$;$TITLE$ $NAME$ '$NICK$';$TITLE$ $NAME$ '$NICK$';;$TITLE$ $NAME$ '$NICK$';;;;;;;;;x
#VASSAL_RETRACTION_SETUP;Egy hûbérest visszavontak;Un vassal a été soustrait;Ein Vasall wurde zurückgenommen;;Un vasallo ha sido desafectado;;;;;;;;;x
VASSAL_RETRACTION_LOG;$TOP_LIEGE$ visszavonta $VASSAL$ hûbérest $OLD_LIEGE$ személyétõl;$TOP_LIEGE$ a soustrait $VASSAL$ de la vassalité de $OLD_LIEGE$;$TOP_LIEGE$ hat $VASSAL$s Vasallentum von $OLD_LIEGE$ zurückgenommen;;$TOP_LIEGE$;;;;;;;;;x
opinion_retracted_my_vassal;Visszavonta hûbéresem;M'a soustrait un vassal;Meinen Vasallen zurückgenommen;;Desafectó a mi vasallo;;;;;;;;;x
opinion_retracted_my_de_jure_vassal;Visszavonta a de jure hûbéresem;M'a soustrait un vassal de jure;Meinen de jure Vasallen zurückgenommen;;Desafectó mi vasallo de jure;;;;;;;;;x
opinion_retracted_a_vassal;Viasszavont egy hûbérest;Vassal soustrait;Einen Vasallen zurückgenommen;;Desafectó un vasallo;;;;;;;;;x
opinion_retracted_a_de_jure_vassal;Visszavont egy de jure hûbérest;Vassal de jure soustrait;Einen de jure Vasallen zurückgenommen;;Desafectó un vasallo de jure;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_TITLE;Hûbérest visszavonása;Soustraire un vassal;Vasallentum zurücknehmen;;Desafecta un vasallaje;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_DESC;Retract a vassal from §Y[Recipient.GetBestName]§!.;Soustraire un vassal de §Y[Recipient.GetBestName]§!.;Einen Vassalen von §Y[Recipient.GetBestName]§! zurücknehmen.;;Desafecta un vasallo de §Y[Recipient.GetBestName]§!.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_LONG_DESC;Visszavonhatsz egy hûbérest egy saját közvetlen hûbéresedtõl. Ennek nem fog örülni, fõleg, ha egy közvetlen hûbéresérõl van szó.;Vous pouvez soustraire un vassal de l'un de vos vassaux directs. Un acte qui leur déplaira, plus particulièrement s'il s'agit d'un de leur vassaux de jure.;Du kannst einen Vasallen von einem deiner direkten Vasallen zurücknehmen. Er wird darüber nicht erfreut sein, besonders nicht, wenn es sich um einen de jure Vasallen handelt.;;Puedes desafectar un vasallo de uno de tus vasallos directos. No les gustará nada, especialmente si es su vasallo de jure.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_0;Válassz ki a visszavonandó hûbérest §Y[Recipient.GetTitledFirstName]§W személyétõl.;Sélectionnez un vassal à soustraire de la suzerainté de §Y[Recipient.GetTitledFirstName]§W.;Wähle einen Vasallen von §Y[Recipient.GetTitledFirstName]§W aus, um ihn zurückzunehmen.;;Selecciona un vasallo a desafectar de §Y[Recipient.GetTitledFirstName]§W.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_1;Tedd §Y[ThirdPartyCharacter.GetBestName]§W személyét közvetlen hûbéreseddé, így csökkentve §Y[Recipient.GetTitledFirstName]§W véleményét rólad §R$OPINION$§W értékkel.;Faire de §Y[ThirdPartyCharacter.GetBestName]§W votre vassal direct, réduisant de §R$OPINION$§W l'opinion que §Y[Recipient.GetTitledFirstName]§W a de vous.;Mache §Y[ThirdPartyCharacter.GetBestName]§W zu deinem direkten Vasallen und vermindere §Y[Recipient.GetTitledFirstName]§Ws Meinung von dir um §R$OPINION$§W.;;Hacer de §Y[ThirdPartyCharacter.GetBestName]§W tu vasallo directamente, rebajando la opinión que §Y[Recipient.GetTitledFirstName]§W tiene de ti en §R$OPINION$§W.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2;A korona fennhatóságnak köszönhetõen §Y$CROWN_TITLE$§! titulus esetében, hûbéreseink nem ellenkezhetnek.;Grâce au niveau d'autorité de la couronne en §Y$CROWN_TITLE$§!, nos vassaux ne peuvent y objecter.;Dank der Kronenautorität in den §Y$CROWN_TITLE$§! können unsere Vasallen keinen Widerspruch einlegen.;;Gracias a la autoridad real en el §Y$CROWN_TITLE$§!, nuestros vasallos no podrán oponerse.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2B;Mivel §Y[Recipient.GetTitledFirstName]§! egy áruló, a hûbéreseink nem ellenkeznek.;Puisque §Y[Recipient.GetTitledFirstName]§! est un traîte, nos vassaux ne s'opposeront pas à cette décision.;Da §Y[Recipient.GetTitledFirstName]§! ein Verräter ist, werden unsere Vasallen nicht widersprechen.;;Como §Y[Recipient.GetTitledFirstName]§! es un traidor, nuestros vasallos no se opondrán.;;;;;;;;;x
