#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_nubia;Makuria;Makourie;Makuria;;Makuria;;;;;;;;;x
d_nubia_adj;makuriai;Makourienne;makuriai;;Makurrana;;;;;;;;;x
d_hayya;Hayya;Hayya;Hayya;;Hayya;;;;;;;;;x
d_hayya_adj;hayi;Hayyane;hayi;;Hayana;;;;;;;;;x
d_sennar;Sennar;Sennar;Sennar;;Sennar;;;;;;;;;x
d_sennar_adj;sennari;Sennari;sennari;;Sennarí;;;;;;;;;x
LIEGEPIETY_HEADER;Áhitat a hûbérúrnak;[Player.Religion.GetPietyName] accordée au seigneur lige;Áhitat a hûbérúrnak;;[Player.Religion.GetPietyName] para el Señor;;;;;;;;;x
#NO_LIEGEPIETY;Ez a hûbéres nem juttat semmi áhitatot neked.\nBizonyos épületek monostor birtokokon áhitatot biztosítanak a birtokos hûbérura számára is.;Ce vassal ne vous octroie aucune piété.\nCertains bâtiments de fiefs ecclésiastiques accordent de la piété au seigneur lige de leurs propriétaires;Ez a hûbéres nem juttat semmi áhitatot neked.\nBizonyos épületek monostor birtokokon áhitatot biztosítanak a birtokos hûbérura számára is.;;Este vasallo no te proporciona nada de piedad.\nAlgunas construcciones en los templos proporcionan piedad al Señor del terrateniente;;;;;;;;;x
major_river_crossing;Jelentõs gázló;Franchissement d’une rivière majeure;Jelentõs gázló;;Cruzar un río importante;;;;;;;;;x
realm_job_spiritual;Királyi $TITLE$s;$TITLE$ du royaume;Királyi $TITLE$s;;$TITLE$s del Reino;;;;;;;;;x
job_spiritual_finnish_pagan;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
job_spiritual_finnish_pagan_reformed;Táltos;Devin ;Táltos;;Augur;;;;;;;;;x
job_spiritual_baltic_pagan;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
job_spiritual_baltic_pagan_reformed;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
job_spiritual_slavic_pagan;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
job_spiritual_slavic_pagan_reformed;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
job_spiritual_tengri_pagan;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
job_spiritual_tengri_pagan_reformed;Táltos;Devin;Táltos;;Augur;;;;;;;;;x
job_spiritual_zoroastrian;Mobad;Mobad;Mobad;;Mobad;;;;;;;;;x
nick_hardeknud;Hardeknut;Hardeknud;Hardeknut;;Harthacnut;;;;;;;;;x
steppe;Sztyeppe;Steppe;Sztyeppe;;Estepa;;;;;;;;;x
TOGGLE_LOOTER_FAIL_CHARALLOWED;Birtokos fosztogathat; Le propriétaire peut piller;Birtokos fosztogathat;; Señor puede saquear;;;;;;;;;x
TOGGLE_LOOTER_FAIL_INOWNLAND;Egység barátságos területen; L’ost est en territoire allié;Egység barátságos területen;;La unidad se encuentra en tierras amigas;;;;;;;;;x
TOGGLE_LOOTER_FAIL_MERC;Egység zsoldosok nélkül; L’ost n'inclut aucune compagnie de mercenaires;Egység zsoldosok nélkül;;En la unidad no pueden paraticipar Mercenarios;;;;;;;;;x
TOGGLE_LOOTER_FAIL_ISATTACHED;Egység nincs más egységhez csatolva; L’ost n’est pas attaché à un autre ost;Egység nincs más egységhez csatolva;;Esta unidad no forma parte de otra unidad;;;;;;;;;x
TOGGLE_LOOTER_FAIL_HASATTACHED;Egység nem rendelkezik csatolt egységekkel; L’ost n’a aucun ost attaché;Egység nem rendelkezik csatolt egységekkel;;Esta unidad no está constituida por más unidades.;;;;;;;;;x
INTERACTION_GRANT_GAVELKIND_EXPLOIT;Mivel az elsõdleges örökösöd Gavelkind-szrû örökösítés alá esik, §Y$NAME$§! számára a §Y$TITLE$§! titulus nem adományozható;En tant que votre premier héritier en partage salique, §Y$NAME$§! ne peut pas recevoir §Y$TITLE$§!;Mivel az elsõdleges örökösöd Gavelkind-szrû örökösítés alá esik, §Y$NAME$§! számára a §Y$TITLE$§! titulus nem adományozható;;Como tu principal heredero bajo la Ley de Sucesión por División, §Y$NAME$§! no puede recibir el §Y$TITLE$§!;;;;;;;;;x
ca_steppe_barracks_1;Sztyeppi harcos veremház;Hutte de guerriers des steppes;Sztyeppi harcos veremház;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_2;Sztyeppi harcos veremház;Hutte de guerriers des steppes;Sztyeppi harcos veremház;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_3;Sztyeppi harcos veremház;Hutte de guerriers des steppes;Sztyeppi harcos veremház;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_4;Sztyeppi harcos veremház;Hutte de guerriers des steppes;Sztyeppi harcos veremház;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_5;Sztyeppi harcos veremház;Hutte de guerriers des steppes;Sztyeppi harcos veremház;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_barracks_6;Sztyeppi harcos veremház;Hutte de guerriers des steppes;Sztyeppi harcos veremház;;Campamento de Guerreros de la Estepa;;;;;;;;;x
ca_steppe_stable_1;Sztyeppi lovaskarám;Terrain équestre des steppes;Sztyeppi lovaskarám;;Zona de Equitación de la Estepa;;;;;;;;;x
ca_steppe_stable_2;Sztyeppi lovaskarám;Terrain équestre des steppes;Sztyeppi lovaskarám;;Zona de Equitación de la Estepa;;;;;;;;;x
ca_steppe_stable_3;Sztyeppi lovaskarám;Terrain équestre des steppes;Sztyeppi lovaskarám;;Zona de Equitación de la Estepa;;;;;;;;;x
