#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HOLD_ELECTION_EFFECT;A $TITLE$ titulus esetén választásokat tartanak\n;Élection en $TITLE$.\n;Eine Wahl wird gehalten in $TITLE$.\n;;Elección en $TITLE$.\n;;;;;;;;;x
ANTI_POPE_CESSATION_LOG;§Y$ANTIPOPE$§! ellenpápa hatalma végetért-;L'anti papauté de §Y$ANTIPOPE$§! a pris fin.;Gegenpapsttum der §Y$ANTIPOPE$§! ist beendet.;;El antipapado de §Y$ANTIPOPE$§! ha terminado.;;;;;;;;;x
TRIGGER_BEST_CRUSADE_CLAIMANT;Legjobb követelõ;Meilleur prétendant;Besten Titelforderer;;Mejor pretendiente;;;;;;;;;x
CRUSADE_DESC_DRO_3;Mivel vannak jó $RELIGION$ követelõi §Y$TITLE$§! koronájának, minden szerzett területet a legerõsebb jelölt fogja megkapni - jelenleg §Y$RULER$§!. Azok a követelõk, akik résztvettek a háborúban elsõbséget élveznek.;Comme il y a de bonnes prétendants $RELIGION$ a la couronne de §Y$TITLE$§!, tout le territoire conquis será donné a le plus forte candidat - actuellement §Y$RULER$§!. Les prétendants qui contribuent a la guerre sont priorisés.;Weil es gute $RELIGION$ Titelförderer für die Krone von §Y$TITLE$§! gibt, wird alles erüberter Territorium an der stärkste Kandidat gegeben - in dieses Moment §Y$RULER$§!. Titelförderer die an den Krieg beitragen haben Priorität.;;Como hay buenos pretendientes $RELIGION$ a la corona de §Y$TITLE$§!, todo el territorio conquistado se dará al candidato más fuerte – actualmente §Y$RULER$§!. Pretendientes que contribuyen a la guerra se priorizarán.;;;;;;;;;x
restore_pope_in_rome;A Pápaság helyreállítása Rómában;Restaurer la papauté;Papsttum Wiederstellen;;Restorar el papado;;;;;;;;;x
restore_pope_in_rome_desc;A Szent Atya elvesztette uralmát földi birodalma fölött, de hatalmamban áll az örök várost neki adományozni!;Le Saint-Père a perdu le contrôle de son domaine séculier, mais il est en mon pouvoir pour rétablir la Ville Éternelle pour lui!;Das Heilige Vater hat seinen Weltlichen Domain verloren , aber ich kan ihn die Ewige Stadt zurückgeben!;;El Santo Padre ha perdido su dominio terrenal, pero yo tengo el poder de devolverle la Ciudad Eterna!;;;;;;;;;x
opinion_restored_to_rome;Romába visszahelyezett;Restauré á Rome;In Rom wiedergestellt;;Restorado en Roma;;;;;;;;;x
opinion_creator_of_rel_heal;A hivatalomat létrehozta;Crée mon poste;Schuf meine Post;;Creó mi oficio;;;;;;;;;x
EVTDESC_SOA_2609;Ez a lovagrend Santiago Matamorosról, azaz Mór-ölõ Szent Jakabról, ahogy a világ többi részén ismerik, kapta a nevét. Szent Jakab Rendje a [Root.Religion.GetName] egyház hivatalos támogatását élvezi és lovagjai felesküdtek, hogy pogányok és hitetlenek egész birodalmait fogják felégetni, ha egy [Root.Religion.GetName] uralkodó arra kéri õket.;Cet ordre de chevaliers doit son nom à Santiago Matamore, ou saint Jacques Matamore comme on le connaît dans d'autres parties du monde. L'Ordre de Santiago bénéficie de l'eglise [Root.Religion.GetName] et ses chevaliers ont fait vœu de purger des royaumes entiers des infidèles et des païens qui y habitent si un souverain [Root.Religion.GetName] leur en fait la demande.;Dieser Ritterorden verdankt seinen Namen Santiago Matamoros, d.h. dem Heiligen Jakob, dem Mohrenschlächter. Der Orden steht unter dem Patronat von die [Root.Religion.GetName] Kirche und seine Ritter haben geschworen, ganze Reiche von Ungläubigen und Heiden zu säubern, wenn seine [Root.Religion.GetName] Majestät dies befiehlt. ;;Esta orden de caballería debe su nombre a Santiago Matamoros, conocido en todo el mundo. La Orden de Santiago cuenta con el apoyo oficial de la iglesia [Root.Religion.GetName] y todos sus caballeros han jurado purgar reinos enteros de infieles y paganos, si así lo solicitara un gobernante [Root.Religion.GetName].;;;;;;;;;x
EVTDESC_SOA_2709;A Calatrava Rend a legfiatalabb a kereszt katonáinak sorában, melyet nem rég fogadott el a [Root.Religion.GetName]  egyház a dekrétumában. Ezeke a lovagok egy ibériai kastélyról nevezték el magukat, melyet nem rég hódítottak meg a hitetlen muszlimoktól. Készen állnak, hogy megütközzenek a pogányokkal és megvédjék a jóságos embereket bármely [Root.Religion.GetName] uralkodó nevében, ha az hajlandó a költségeiket állni.;L'Ordre de Calatrava est le plus récent ajout aux soldats de la Croix. Il a été approuvé par une bulle de l'eglise [Root.Religion.GetName]. Ces chevaliers tiennent leur nom d'un château repris aux infidèles musulmans en péninsule ibérique, et ils sont prêts à combattre les païens et à défendre les croyants au nom de tout souverain [Root.Religion.GetName] disposé à payer leur solde.;Der Orden von Calatrava ist der jüngste Zugang in der Streitmacht des Kreuzes, er wurde gerade erst durch ein Dekret der [Root.Religion.GetName] Kirche privilegiert. Der Name bezieht sich auf eine den Klauen der muslimischen Ungläubigen in Iberien entrissene Burg und die Ritter stehen bereit zum Kampf gegen die Heiden und zur Verteidigung der Frommen im Namen jedes [Root.Religion.GetName] Herrschers, der bereit ist, für ihren Unterhalt aufzukommen. ;;La Orden de Calatrava es la última adición a los soldados de la cruz, recién aprobada por un decreto de la iglesia [Root.Religion.GetName]. Estos caballeros toman su nombre de un castillo ibérico reconquistado a los musulmanes infieles y están dispuestos a luchar contra los paganos y a defender a los devotos en el nombre de cualquier gobernante [Root.Religion.GetName] que les proporcione los víveres necesarios.;;;;;;;;;x
EVTDESC39100;Egy dekrétum megerõsítette a Szent János Lovagrend létrejöttét. A lovagok akik, addig is megvédték Jeruzsálem beteg zarándokait, ezentúl a [Root.Religion.GetName] egyház teljes támogatását élvezik. A kegyes [Root.Religion.GetName] uralkodók segítségül hívhatják õket a pogányok és eretnekek ellen vívott harcaikhoz, de nem fognak saját hitük követõi ellen harcolni.;L'Église [Root.Religion.GetName] a émis une bulle confirmant la formation d’un nouvel ordre religieux : les Chevaliers de Saint Jean. Les chevaliers, qui protègent et soignent déjà les pèlerins malades à Jérusalem, bénéficient désormais de l’appui de l’Église [Root.Religion.GetName]. Les pieux souverains chrétiens font appel à eux pour faire la guerre aux hérétiques et aux païens, mais ils ne combattront pas leurs frères [Root.Religion.GetName].;Die [Root.Religion.GetName] Kirche hat über eine Bulle die Gründung eines neuen religiösen Militärordens bestätigt - den Malteserorden. Diese Ritter, die bereits seit einiger Zeit in Jerusalem kranke Pilger beschützt und gepflegt haben, können sich nun der vollen Unterstützung der [Root.Religion.GetName] Kirche sicher sein. In Kriegen gegen Ketzer und Heiden können gottesfürchtige christliche Herrscher auf ihre Unterstützung zählen. Gegen [Root.Religion.GetName] Glaubensbrüder aber ziehen sie nicht zu Felde.;;La iglesia [Root.Religion.GetName] ha publicado una bula confirmando la creación de una nueva orden religiosa y militar: los Caballeros de San Juan. Estos, que ya llevan tiempo protegiendo y cuidando a peregrinos enfermos en Jerusalén, disponen ahora del pleno apoyo de la iglesia [Root.Religion.GetName]. Los gobernantes cristianos devotos pueden pedirles ayuda en las guerras contra herejes y paganos, pero no lucharán contra otros [Root.Religion.GetName]s.;;;;;;;;;x
EVTDESC39101;Egy új keresztény lovagrendet alapított pár tehetõs lovag. A Templomos Lovagrend felesküdött a Szent Föld zarándokainak védelmére. A [Root.Religion.GetName] egyház teljes támogatásáról biztosította a rendet, ezáltál más [Root.Religion.GetName] uralkodók segítségüket kérhetik, de csak eretnekek és pogányok ellen harcolnak.;Un nouvel ordre militaire chrétien a été fondé par un petit groupe de riches chevaliers. Les Pauvres Chevaliers du Christ et du Temple de Salomon, également appelés Templiers, ont juré de protéger les pèlerins se rendant en Terre Sainte. L'Église [Root.Religion.GetName] approuve pleinement cet ordre et va autoriser les pieux souverains [Root.Religion.GetName] à solliciter leur aide, sauf s’il s’agit de combattre d’autres [Root.Religion.GetName].;Eine kleine Gruppe wohlhabender Ritter hat einen neuen christlichen Militärorden gegründet. Die Arme Ritterschaft Christi und des salomonischen Tempels zu Jerusalem, oder kurz Tempelritter, haben geschworen, die durch das Heilige Land reisenden Pilger zu beschützen. Die [Root.Religion.GetName] Kirche steht völlig hinter dem Orden und gestattet gottesfürchtigen [Root.Religion.GetName] Herrschern, sie um Unterstützung zu bitten. Gegen [Root.Religion.GetName] Glaubensbrüder aber ziehen sie nicht zu Felde.;;Un pequeño grupo de caballeros ricos ha fundado una nueva orden militar cristiana. Los Pobres Caballeros de Cristo y del Templo de Salomón, o Caballeros Templarios de modo abreviado, han jurado proteger a los peregrinos que viajen por Tierra Santa. La iglesia [Root.Religion.GetName] apoya totalmente la Orden y permitirá que los gobernantes [Root.Religion.GetName] devotos les pidan ayuda, pero la Orden no luchará contra otros [Root.Religion.GetName]s.;;;;;;;;;x
EVTDESC39102;Létrejött teuton lovagok rendje, melyet a [Root.Religion.GetName]  egyház és a Császár támogatnak. A Teuton Lovagrend akárcsak a Szent János és a Templomos Lovagrend elsõdlegesen a zarándokok védelmében érdekelt, de bármely [Root.Religion.GetName] uralkodót is szívesen szolgálnak költségeik fejében. Vallásos rendhez méltóan csak eretnekek és pogányok ellen harcolnak.;L’Ordre de la Maison des Chevaliers de l’Hôpital de Sainte-Marie-des-Teutoniques à Jérusalem, ou Ordre Teutonique, a été formé. Celui-ci est soutenu par L'Église [Root.Religion.GetName] et par le Saint Empereur romain. L’ordre Teutonique, à l’instar des Chevaliers de Saint Jean et des Templiers, protège et soigne principalement les pèlerins qui viennent en Terre Sainte, mais sert aussi tout bon souverain [Root.Religion.GetName] prêt à payer son entretien. En tant qu’ordre religieux, il ne combat jamais d’autres [Root.Religion.GetName].;Unterstützt von die [Root.Religion.GetName] Kirche und dem Heiligen Römischen Kaiser wurde der Orden der Brüder vom Deutschen Haus Sankt Mariens in Jerusalem gegründet. Wie die Malteser und die Tempelritter bieten auch die Ritter des Deutschen Ordens hauptsächlich Pilgern im Heiligen Land Schutz und Pflege. Generell aber dienen sie jedem rechtschaffenen [Root.Religion.GetName] Herrscher, der für ihren Unterhalt aufkommt. Als religiöser Orden kämpfen sie nicht gegen [Root.Religion.GetName] Glaubensbrüder.;;Se ha creado la Orden de los Caballeros Teutónicos del Hospital de Santa María de Jerusalén, auspiciada por la iglesia [Root.Religion.GetName] y el Sacro Emperador Romano. La principal tarea de dicha Orden, igual que en el caso de los Caballeros de San Juan y los Templarios, es proteger a los peregrinos a Tierra Santa, pero servirán a cualquier buen gobernante [Root.Religion.GetName] dispuesto a pagar su mantenimiento. Al ser una Orden religiosa, no lucharán contra otros [Root.Religion.GetName]s.;;;;;;;;;x
