#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
INTERACTION_RELIGION_MUST_MARRY_REGULARLY;$RELIGION$ vallású karakterek nem házasodhatnak matrilineárisan!;Un personnage $RELIGION$ ne peut contracter un mariage matrilinéaire.;$RELIGION$ Charaktere können nicht matrilineal heiraten!;;¡Los personajes de religión $RELIGION$ no pueden casarse matrilinealmente!;;;;;;;;;x
INTERACTION_CANNOT_GRANT_CAPITAL_IF_MOVED;Nem adományozható el a fõváros grófsága a fõváros áthelyezése után;Impossible de se séparer du comté qui accueille la capitale après l’avoir déplacée.;Ihr könnt eure Hauptstadt nicht abtreten nachdem ihr sie schon einmal verlegt habt.;;No puedes entregar el condado principal al trasladar la capital;;;;;;;;;x
INTERACTION_REVOKE_BEFORE_DATE;Nem vonhatod vissza ezt az adományozott titulust eddig: §Y$DATE$§!;Impossible de révoquer avant le §Y$DATE$§ ce titre octroyé.;Ihr könnt diesen Titel nicht vor §Y$DATE$§ entziehen!;;No puedes revocar este título hasta §Y$DATE$§!;;;;;;;;;x
AIREASON_FIGHTING_FOR_THE_CHURCH;Harc az egyházért;Combat pour l’Église.;Kämpft für die Kirche;;Luchando por la Iglesia;;;;;;;;;x
IS_NOT_MATRI_MARRIED;NEM matrilineárisan házasodott;N’a pas contracté de mariage matrilinéaire.;Ist NICHT matrilineal verheiratet;;NO está casado matrilinealmente;;;;;;;;;x
IS_MATRI_MARRIED;matrilineárisan házasodott;A contracté un mariage matrilinéaire.;Ist matrilineal verheiratet;;Está casado matrilinealmente;;;;;;;;;x
IS_RECENT_GRANT;mostanában adományozva;Fut récemment octroyé.;Vor kurzem vergeben;;Fue entregado recientemente;;;;;;;;;x
IS_NOT_RECENT_GRANT;NEM mostanában adományozva;Ne fut pas récemment octroyé.;NICHT vor kurzem vergeben;;NO fue entregado recientemente;;;;;;;;;x
AIREASON_AI_FLAG_REFUSE_CONVERSION;Igazhívõ;Véritable croyant.;Wahrer Gläubiger;;Fiel creyente;;;;;;;;;x
INTERACTION_GRANT_THEOCRACY_LIMITS;Nem adhatsz teokráciáknak egynél több hercegséget vagy királyságot;Impossible de donner aux théocraties plus d’un duché ou royaume.;Ihr könnt nicht mehr als eine Herzogtum oder Königreich an Theokratien vergeben;;No puedes dar a las teocracias más de un ducado o reino;;;;;;;;;x
deposed_antipope;Megdöntött egy ellenpápát;A déposé un antipape.;Hat einen Gegenpapst abgesetzt;;Depuso a un Antipapa;;;;;;;;;x
